기업명,자기자본비율,부채비율,유동비율,유동부채비율,비유동부채비율,비유동비율,금융비용부담률,재무레버리지,비유동적합률,유동자산구성비율,재고자산구성비율,유동자산/비유동자산비율,재고자산/유동자산비율
BGF리테일,34.801,187.349,81.149,109.461,77.888,198.522,0.594,287.349,111.6,30.912,6.239,44.744,20.182
E1,15.056,564.197,91.637,459.723,104.473,242.922,1.01,664.197,118.804,63.426,4.131,173.42,6.514
GS글로벌,39.391,153.866,140.745,112.315,41.55,95.788,0.819,253.866,67.67,62.268,17.79,165.03,28.57
GS리테일,41.963,138.303,78.019,59.671,78.632,191.748,1.773,238.303,107.343,19.536,4.051,24.279,20.736
HLB글로벌,69.943,42.974,132.626,39.228,3.746,90.947,7.207,142.974,87.663,36.389,,57.206,
LS네트웍스,9.695,931.497,86.346,863.613,67.883,285.798,1.319,1031.497,170.236,72.293,0.973,260.918,1.347
LX인터내셔널,37.17,169.033,134.732,102.334,66.699,131.157,3.249,269.033,78.679,51.249,9.827,105.123,19.175
SG세계물산,86.766,15.252,239.621,12.663,2.589,84.909,0.574,115.252,82.766,26.328,13.148,35.737,49.938
SK가스,36.319,175.336,129.089,73.805,101.531,180.062,6.399,275.336,89.347,34.603,6.576,52.911,19.005
SK네트웍스,39.815,151.162,102.145,95.677,55.485,153.433,2.524,251.162,98.68,38.911,7.531,63.695,19.356
STX,20.586,385.777,67.592,355.682,30.094,245.365,9.246,485.777,188.606,49.49,13.439,97.981,27.155
경방,62.554,59.861,58.954,32.572,27.289,140.658,6.047,159.861,110.503,12.012,4.511,13.652,37.554
광주신세계,68.165,46.703,59.662,16.805,29.898,136.677,1.291,146.703,105.219,6.834,0.336,7.336,4.91
교촌에프앤비,52.074,92.033,84.06,71.142,20.891,132.231,0.947,192.033,109.38,31.142,4.475,45.226,14.369
대구백화점,38.41,160.347,14.017,98.333,62.014,179.789,,260.347,110.971,5.294,2.684,7.666,50.692
더본코리아,75.869,31.806,323.915,30.445,1.361,33.191,0.161,131.806,32.745,74.818,,297.113,
디아이동일,55.668,79.636,95.094,59.843,19.793,122.729,3.989,179.636,102.451,31.679,11.714,46.368,36.977
롯데쇼핑,43.673,128.977,56.089,57.745,71.232,196.588,6.668,228.977,114.808,14.145,3.95,16.475,27.923
롯데하이마트,49.116,103.601,101.946,58.555,45.046,143.906,1.533,203.601,99.214,29.319,19.474,41.481,66.422
메타케어,73.821,35.463,361.385,10.329,25.134,98.136,23.913,135.463,78.424,27.555,0.631,38.036,2.289
모나미,46.92,113.129,105.516,105.176,7.953,102.152,3.514,213.129,94.626,52.071,23.098,108.64,44.359
미스토홀딩스,49.424,102.331,199.598,45.087,57.245,112.339,3.307,202.331,71.442,44.478,18.399,80.107,41.366
삼영무역,84.592,18.214,461.495,15.077,3.137,48.633,0.921,118.214,47.154,58.86,5.434,143.072,9.232
세기상사,48.542,106.006,21.247,84.494,21.511,188.053,2.355,206.006,154.762,8.715,2.523,9.547,28.955
세우글로벌,91.608,9.16,1069.325,9.108,0.052,11.765,1.635,109.16,11.759,89.223,8.232,827.859,9.226
세이브존I&C,83.966,19.096,272.421,10.133,8.962,91.49,2.73,119.096,83.965,23.179,0.785,30.173,3.387
신성통상,41.682,139.912,161.285,89.502,50.41,95.56,3.608,239.912,63.532,60.169,28.069,151.061,46.651
신세계인터내셔날,63.499,57.484,159.525,38.843,18.641,95.52,2.368,157.484,80.512,39.346,24.167,64.87,61.421
신송홀딩스,41.881,138.77,56.039,74.497,64.273,197.023,4.504,238.77,119.936,17.484,5.533,21.189,31.643
신일전자,63.835,56.654,193.058,51.966,4.688,56.33,2.156,156.654,53.808,64.042,16.865,178.099,26.334
아이마켓코리아,32.399,208.648,109.819,197.336,11.312,91.935,0.203,308.648,82.592,70.214,4.682,235.723,6.669
엘브이엠씨,63.749,56.865,141.124,39.491,17.373,101.133,7.836,156.865,86.163,35.529,13.997,55.108,39.398
영원무역,72.279,38.352,471.222,18.683,19.669,50.313,0.897,138.352,42.043,63.634,22.734,174.984,35.726
온타이드,66.379,50.65,202.025,42.417,8.233,64.956,6.442,150.65,60.015,56.883,24.367,131.925,42.838
웰바이오텍,63.179,58.282,223.464,53.143,5.138,39.526,0.941,158.282,37.594,75.028,,300.453,
윌비스,29.391,240.245,106.658,213.524,26.721,112.504,8.899,340.245,88.781,66.934,30.866,202.43,46.114
유니퀘스트,47.974,108.446,175.731,107.574,0.872,19.404,1.218,208.446,19.236,90.691,27.292,974.235,30.094
이마트,38.856,157.361,96.529,81.948,75.412,178.257,2.557,257.361,101.621,30.737,6.055,44.377,19.698
이아이디,66.431,50.532,27.213,49.039,1.493,137.187,7.666,150.532,135.168,8.865,0.712,9.728,8.028
인바이오젠,98.222,1.81,438.441,1.324,0.486,96.004,0.744,101.81,95.54,5.703,0.068,6.048,1.196
일신석재,60.6,65.016,144.633,46.592,18.424,97.628,0.997,165.016,82.44,40.837,14.261,69.025,34.921
진도,80.079,24.877,252.73,19.902,4.975,74.578,3.077,124.877,71.044,40.279,31.154,67.445,77.345
케이카,43.02,132.452,91.736,111.865,20.587,129.831,0.53,232.452,107.666,44.147,38.256,79.041,86.657
코오롱모빌리티그룹,26.302,280.196,70.611,186.125,94.071,248.77,1.066,380.196,128.185,34.568,20.905,52.83,60.475
포스코인터내셔널,42.393,135.886,124.152,90.615,45.271,123.385,5.292,235.886,84.935,47.693,12.002,91.178,25.165
플레이그램,61.005,63.92,152.874,59.148,4.647,73.187,3.157,163.92,69.938,55.162,10.694,123.548,19.387
한국화장품,52.444,90.679,163.863,77.84,12.84,63.129,0.649,190.679,55.946,66.892,24.361,202.046,36.419
한샘,32.857,204.352,108.519,134.613,69.739,158.271,0.873,304.352,93.244,47.997,9.844,92.298,20.51
한세엠케이,17.133,483.678,72.414,419.739,63.939,279.73,3.338,583.678,170.63,52.075,34.396,108.658,66.051
한솔피엔에스,37.039,169.989,131.911,162.447,7.542,55.704,0.133,269.989,51.797,79.368,8.923,384.686,11.242
현대그린푸드,70.134,42.584,192.647,36.808,5.775,71.673,-0.075,142.584,67.76,49.732,7.802,98.935,15.688
현대백화점,55.577,79.931,92.646,52.739,27.192,131.071,2.625,179.931,103.049,27.155,5.498,37.278,20.248
현대코퍼레이션홀딩스,80.943,23.543,192.658,16.168,7.375,92.394,0.686,123.543,86.048,25.213,8.838,33.714,35.052
현대홈쇼핑,74.114,34.927,267.863,24.124,10.791,70.099,0.688,134.927,63.272,47.891,17.31,92.181,36.145
혜인,45.739,118.632,138.086,111.891,6.741,64.127,3.664,218.632,60.077,70.669,41.59,240.938,58.851
호텔신라,33.675,196.952,122.689,89.537,107.414,187.099,1.566,296.952,90.206,36.993,16.329,58.714,44.141
화승인더스트리,34.056,193.635,78.506,174.67,18.965,156.509,,293.635,131.559,46.7,17.621,87.616,37.732
AP헬스케어,90.136,10.944,169.226,10.312,0.632,93.494,277.656,110.944,92.907,15.729,0.429,18.664,2.726
CJ프레시웨이,26.553,276.609,80.233,196.339,80.269,219.08,1.35,376.609,121.529,41.828,11.193,71.904,26.76
ES큐브,95.013,5.249,1286.258,2.377,2.872,74.678,6.037,105.249,72.592,29.047,6.519,40.938,22.445
HC홈센타,49.284,102.906,99.96,64.536,38.37,138.396,4.57,202.906,100.019,31.793,4.167,46.613,13.108
HLB테라퓨틱스,82.745,20.853,169.647,17.543,3.31,91.092,31.151,120.853,88.174,24.625,2.445,32.671,9.928
ISC,89.751,11.42,775.006,9.992,1.428,33.983,4.213,111.42,33.504,69.5,2.649,227.871,3.811
JTC,30.982,222.766,207.866,60.151,162.615,197.733,1.462,322.766,75.294,38.738,,63.233,
PN풍년,86.729,15.301,582.602,14.045,1.256,33.474,0.163,115.301,33.059,70.968,19.459,244.45,27.42
SDN,40.132,149.179,90.034,110.526,38.652,149.668,7.941,249.179,107.945,39.936,10.977,66.488,27.488
YW,83.719,19.448,803.886,8.313,11.135,52.619,6.078,119.448,47.347,55.948,1.896,127.004,3.389
감성코퍼레이션,72.87,37.23,447.49,25.265,11.965,24.174,0.736,137.23,21.59,82.385,39.061,467.683,47.413
