기업명,자기자본비율_점수,부채비율_점수,유동비율_점수,유동부채비율_점수,비유동부채비율_점수,비유동비율_점수,금융비용부담률_점수,재무레버리지_점수,비유동적합률_점수,유동자산구성비율_점수,재고자산구성비율_점수,유동자산/비유동자산비율_점수,재고자산/유동자산비율_점수
BGF리테일,1,1,1,1,5,1,1,1,5,2,2,2,2
E1,0,1,2,1,0,1,2,1,5,4,2,4,1
GS글로벌,1,1,3,1,5,3,1,1,2,4,4,4,3
GS리테일,2,2,1,3,5,1,2,2,5,1,2,1,3
HLB글로벌,4,4,2,4,2,3,5,4,4,2,0,2,0
LS네트웍스,0,1,2,1,5,1,2,1,0,5,1,5,0
LX인터내셔널,1,1,2,2,5,2,3,1,3,3,3,3,2
SG세계물산,5,5,4,5,1,3,1,5,3,1,3,1,5
SK가스,1,1,2,2,0,1,4,1,4,2,2,2,2
SK네트웍스,1,1,2,2,5,1,3,1,4,2,3,2,2
STX,0,1,1,1,5,1,5,1,0,3,3,3,3
경방,3,3,1,4,4,2,4,3,5,0,2,1,4
광주신세계,4,4,1,4,4,2,2,4,5,0,0,1,1
교촌에프앤비,2,3,1,3,4,2,2,3,5,2,2,2,2
대구백화점,1,1,1,2,5,1,0,1,5,0,1,1,5
더본코리아,4,4,5,4,1,5,0,4,1,5,0,5,0
디아이동일,3,3,2,3,4,2,4,3,4,2,3,2,4
롯데쇼핑,2,2,1,3,5,1,5,2,5,1,2,1,3
롯데하이마트,2,2,2,3,5,2,2,2,4,1,4,2,0
메타케어,4,4,5,5,4,2,5,4,3,1,0,2,1
모나미,2,2,2,2,2,2,4,2,4,3,5,3,5
미스토홀딩스,2,2,4,3,5,2,3,2,3,3,4,3,4
삼영무역,5,5,5,5,2,4,1,5,1,4,2,4,2
세기상사,2,2,1,2,4,1,3,2,0,0,1,1,3
세우글로벌,0,5,5,5,0,5,2,5,0,0,3,5,1
세이브존I&C,5,5,4,5,3,3,3,5,3,1,1,1,1
신성통상,1,2,3,2,5,3,4,2,2,4,5,4,5
신세계인터내셔날,3,3,3,4,4,3,3,3,3,2,5,2,5
신송홀딩스,2,2,1,2,5,1,4,2,5,1,2,1,4
신일전자,3,3,4,3,2,4,3,3,2,4,4,4,3
아이마켓코리아,1,1,2,1,3,3,0,1,3,5,2,5,1
엘브이엠씨,3,3,3,3,4,2,5,3,4,2,4,2,4
영원무역,4,4,5,4,4,4,1,4,1,4,5,4,4
온타이드,4,3,4,3,2,4,4,3,2,4,5,4,5
웰바이오텍,3,3,4,3,2,5,2,3,1,5,0,5,0
윌비스,1,1,2,1,4,2,5,1,4,4,5,4,5
유니퀘스트,2,2,3,2,1,5,2,2,0,0,5,5,3
이마트,1,1,2,2,5,1,3,1,4,1,2,2,2
이아이디,4,4,1,3,1,2,5,4,5,0,0,1,1
인바이오젠,0,5,5,5,0,3,1,5,4,0,0,1,0
일신석재,3,3,3,3,4,3,2,3,3,2,4,2,4
진도,5,4,4,4,2,3,3,4,3,2,5,2,0
케이카,2,2,2,1,4,2,1,2,5,3,0,3,0
코오롱모빌리티그룹,0,1,1,1,0,1,2,1,5,2,5,2,5
