기업명,자기자본비율_점수,부채비율_점수,유동비율_점수,유동부채비율_점수,비유동부채비율_점수,비유동비율_점수,금융비용부담률_점수,재무레버리지_점수,비유동적합률_점수,유동자산구성비율_점수,재고자산구성비율_점수,유동자산/비유동자산비율_점수,재고자산/유동자산비율_점수,단기안정성점수,장기안정성점수,총합점수,종합순위
BGF리테일,1,1,1,1,5,1,1,1,5,2,2,2,2,10,15,25,134
E1,0,1,2,1,0,1,2,1,5,4,2,4,1,14,10,24,136
GS글로벌,1,1,3,1,5,3,1,1,2,4,4,4,3,19,14,33,101
GS리테일,2,2,1,3,5,1,2,2,5,1,2,1,3,11,19,30,115
HLB글로벌,4,4,2,4,2,3,5,4,4,2,0,2,0,10,26,36,80
LS네트웍스,0,1,2,1,5,1,2,1,0,5,1,5,0,14,10,24,136
LX인터내셔널,1,1,2,2,5,2,3,1,3,3,3,3,2,15,16,31,111
SG세계물산,5,5,4,5,1,3,1,5,3,1,3,1,5,19,23,42,30
SK가스,1,1,2,2,0,1,4,1,4,2,2,2,2,12,12,24,136
SK네트웍스,1,1,2,2,5,1,3,1,4,2,3,2,2,13,16,29,117
STX,0,1,1,1,5,1,5,1,0,3,3,3,3,14,13,27,126
경방,3,3,1,4,4,2,4,3,5,0,2,1,4,12,24,36,80
광주신세계,4,4,1,4,4,2,2,4,5,0,0,1,1,7,25,32,107
교촌에프앤비,2,3,1,3,4,2,2,3,5,2,2,2,2,12,21,33,101
대구백화점,1,1,1,2,5,1,0,1,5,0,1,1,5,10,14,24,136
더본코리아,4,4,5,4,1,5,0,4,1,5,0,5,0,19,19,38,63
디아이동일,3,3,2,3,4,2,4,3,4,2,3,2,4,16,23,39,54
롯데쇼핑,2,2,1,3,5,1,5,2,5,1,2,1,3,11,22,33,101
롯데하이마트,2,2,2,3,5,2,2,2,4,1,4,2,0,12,19,31,111
메타케어,4,4,5,5,4,2,5,4,3,1,0,2,1,14,26,40,46
모나미,2,2,2,2,2,2,4,2,4,3,5,3,5,20,18,38,63
미스토홀딩스,2,2,4,3,5,2,3,2,3,3,4,3,4,21,19,40,46
삼영무역,5,5,5,5,2,4,1,5,1,4,2,4,2,22,23,45,19
세기상사,2,2,1,2,4,1,3,2,0,0,1,1,3,8,14,22,143
세우글로벌,0,5,5,5,0,5,2,5,0,0,3,5,1,19,17,36,80
세이브존I&C,5,5,4,5,3,3,3,5,3,1,1,1,1,13,27,40,46
신성통상,1,2,3,2,5,3,4,2,2,4,5,4,5,23,19,42,30
신세계인터내셔날,3,3,3,4,4,3,3,3,3,2,5,2,5,21,22,43,26
신송홀딩스,2,2,1,2,5,1,4,2,5,1,2,1,4,11,21,32,107
신일전자,3,3,4,3,2,4,3,3,2,4,4,4,3,22,20,42,30
아이마켓코리아,1,1,2,1,3,3,0,1,3,5,2,5,1,16,12,28,123
엘브이엠씨,3,3,3,3,4,2,5,3,4,2,4,2,4,18,24,42,30
영원무역,4,4,5,4,4,4,1,4,1,4,5,4,4,26,22,48,6
온타이드,4,3,4,3,2,4,4,3,2,4,5,4,5,25,22,47,9
웰바이오텍,3,3,4,3,2,5,2,3,1,5,0,5,0,17,19,36,80
윌비스,1,1,2,1,4,2,5,1,4,4,5,4,5,21,18,39,54
